OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1479,18680,52458,HARTLAND  ST  AT  WILLIS  AV,HARTLAND  ST  AT  WILLIS  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=52458
1480,18697,54784,FOOTHILL BL AT WYNGATE ST,FOOTHILL BL AT WYNGATE ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=54784
1481,18703,52799,GEYSER  AV  N/O  NORDHOFF  ST,GEYSER  AV  N/O  NORDHOFF  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=52799
1482,12926,17758,37th ST AT AVERILL AV,37th ST AT AVERILL AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17758
1483,12932,19344,76TH  ST  AT  75TH  PL,76TH  ST  AT  75TH  PL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19344
1484,12955,20634,INGLEWOOD  AT  VICTORIA  AV,INGLEWOOD  AT  VICTORIA  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20634
1485,12962,17971,40TH  ST  W/O  BLUFF  PL,40TH  ST  W/O  BLUFF  PL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17971
1486,12964,20819,BEETHOVEN  ST  AT   MARCO  PL,BEETHOVEN  ST  AT   MARCO  PL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20819
1487,12967,19813,VIENNA  WAY  E/O  PENMAR  AV,VIENNA  WAY  E/O  PENMAR  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19813
1488,17896,12191,PICO  BL  AT  ROBERTSON  BL,PICO  BL  AT  ROBERTSON  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12191
1489,17900,16750,ADAMS  BL  AT  GRAND  AV,ADAMS  BL  AT  GRAND  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=16750
1490,17902,12242,OLYMPIC  BL  AT  FAIRFAX  AV,OLYMPIC  BL  AT  FAIRFAX  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12242
1491,17908,14968,WALL  ST   AT   OLYMPIC  BL,WALL  ST   AT   OLYMPIC  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14968
1492,17918,15257,9TH  ST  W/O  HILL  ST,9TH  ST  W/O  HILL  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15257
1493,17920,15288,PICO  BL  AT  UNION  AV,PICO  BL  AT  UNION  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15288
1494,17923,17281,GRAND  AV AT  19TH ST,GRAND  AV AT  19TH ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17281
1495,17925,12645,GRAMERCY PL  AT  18TH ST,GRAMERCY PL  AT  18TH ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12645
1496,17931,15345,8TH  ST  W/O  FIGUEROA  ST,8TH  ST  W/O  FIGUEROA  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15345
1497,17932,15371,MAIN  ST  S/O  4TH  ST,MAIN  ST  S/O  4TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15371
1498,17938,21658,BROADWAY  AT  1ST  ST,BROADWAY  AT  1ST  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21658
1499,17941,19037,LOUISE  AV  AT  KENYON   AV,LOUISE  AV  AT  KENYON   AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19037
1500,18738,56231,RIVERSIDE DR AT HAZELTINE AV,RIVERSIDE DR AT HAZELTINE AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=56231
1501,18752,55255,ELMHURST  DR  AT  TRUE KNOLL DR,ELMHURST  DR  AT  TRUE KNOLL DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=55255
1502,18776,53519,ZELZAH  AV  AT  NORDHOFF  ST,ZELZAH  AV  AT  NORDHOFF  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=53519
1503,18778,54609,TUPPER ST  AT  HAYVENHURST AV,TUPPER ST  AT  HAYVENHURST AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=54609
1504,16242,52339,VALERIO  ST  AT  HASKELL  AV,VALERIO  ST  AT  HASKELL  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=52339
1505,17054,66997,6TH  ST  AT RAMPART  BL,6TH  ST  AT RAMPART  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=66997
1506,17055,68165,VERMONT AV AT WILSHIRE BL,VERMONT AV AT WILSHIRE BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=68165
1507,17068,68255,SOTO ST N/O MULTNOMAH ST,SOTO ST N/O MULTNOMAH ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=68255
1508,17078,4326,WILMINGTON AV AT 112th ST,WILMINGTON AV AT 112th ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=4326
1509,17094,13014,HOBART  BL  S/O  PICO  BL,HOBART  BL  S/O  PICO  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=13014
1510,17095,32328,WESTLAKE  AV  S/O  BELLEVUE  AV,WESTLAKE  AV  S/O  BELLEVUE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=32328
1511,17949,19185,DENROCK  AV   AT   DUNBARTON  AV,DENROCK  AV   AT   DUNBARTON  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19185
1512,17953,21901,BROXTON AV AT WEYBURN AV,BROXTON AV AT WEYBURN AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21901
