OBJECTID,healthind,boeint_fkey,calenvscreen,GlobalID
293,52.842008,96338,44.5166430847,076dba4e-ba43-4950-acdb-1954e657751e
294,58.891073,96339,40.297196387,d287d3da-9323-4fa4-83e7-01eb54526b9c
295,39.455581,96340,25.27936643,7680d9f0-7101-47a2-86f2-2c1255ac6a13
296,35.368623,96341,21.4767710832,eab996b1-bde6-4a06-97ab-04283fafd31f
297,35.368623,96342,21.4812279803,015504ae-322d-4f01-a704-438f0e49e38f
298,37.118794,96343,23.2214330945,c8428ac7-ecb9-4c8b-8d99-83a32a335046
299,40.188518,96344,33.2477999016,91f63fe3-0f99-470d-9fcd-93687f493abf
300,35.224,96345,21.4812279803,62d2d752-d01c-4890-9fc5-ff74472c3c26
301,35.224,96346,19.8229497001,20edc161-2f88-4e68-a0ae-dbbdce1b2d16
302,43.028002,96347,38.8544886355,70a819d0-7144-45c0-a03e-e72a1daaf543
303,,96477,,601e6849-c97e-4417-9415-476eab25fea5
304,55.31245,96496,62.0345438572,6344b6fc-a500-4ea1-bac4-e7ac36dbbb20
305,49.487787,96507,66.8288951457,fbcae645-e7de-41c3-9e06-e2952116a675
306,45.699134,96522,77.8017780964,e025386f-c447-4979-a9c4-0f5a3e2517b2
307,50.039277,96536,,2e7a3603-6b73-4d52-b220-ac8662a9d8ce
308,45.366637,96538,71.5521397964,46feb459-8f69-44e9-a65a-f88cf3bf9d74
309,55.767137,96541,62.0345438572,c4abbcad-eb2b-4f84-855f-b2531868950b
310,34.053237,96744,31.6684437881,690c73e3-e0bc-4260-9c6e-bfe6c2cec4cd
311,35.620194,96745,31.6684437881,9a88a1bb-4668-4330-94e7-a08670d015b0
312,35.620194,96769,31.6684437881,cbc63081-be55-41d8-893f-da970951723f
313,33.101233,96849,9.00485243135,4e1b1676-8aa3-4837-a144-a06540e66874
314,35.501553,96922,21.7858105303,41e94ea9-a6a0-4a42-960a-2561f8e87e5e
