,Unnamed: 0,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum,Full Name,Boroughs
119,119,224,9003579,Morris Avenue,156 Street,Park Avenue,SB,09/14/2014,6197.0,Morris Avenue from 156 Street to Park Avenue,N/A
120,120,225,9001489,Morris Avenue,East 153 Street,East 156 Street,NB,09/14/2014,4181.0,Morris Avenue from East 153 Street to East 156 Street,West Bronx
121,121,225,9001489,Morris Avenue,East 156 Street,East 153 Street,SB,09/14/2014,2682.0,Morris Avenue from East 156 Street to East 153 Street,West Bronx
122,122,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,NB,09/14/2014,7164.0,Moshoulu Parkway from Van Courtlandt Avenue East to Grand Concourse,Van Cortlandt Park South
123,123,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,SB,09/14/2014,7850.0,Moshoulu Parkway from Van Courtlandt Avenue East to Grand Concourse,Van Cortlandt Park South
124,124,236,261726,Park Avenue,138 Street,135 Street,NB,09/14/2014,2309.0,Park Avenue from 138 Street to 135 Street,New York
125,125,249,192425,Provost Avenue,East 233 Street,Westchester,SB,09/14/2014,2923.0,Provost Avenue from East 233 Street to Westchester,The Bronx
126,126,249,192425,Provost Avenue,East 233 Street,Westchester,NB,09/14/2014,3806.0,Provost Avenue from East 233 Street to Westchester,The Bronx
127,127,262,73436,Riverdale Avenue,West 238 Street,West 239 Street,NB,09/14/2014,4204.0,Riverdale Avenue from West 238 Street to West 239 Street,West Bronx
128,128,262,73436,Riverdale Avenue,West 239 Street,West 238 Street,SB,09/14/2014,6438.0,Riverdale Avenue from West 239 Street to West 238 Street,West Bronx
129,129,268,69696,River Avenue,East 150 Street,East 151 Street,NB,09/14/2014,4119.0,River Avenue from East 150 Street to East 151 Street,West Bronx
130,130,268,69696,River Avenue,East 151 Street,East 150 Street,SB,09/14/2014,3189.0,River Avenue from East 151 Street to East 150 Street,West Bronx
131,131,276,113134,Sedgwick Avenue,West Fordham Road,West 183 Street,SB,09/14/2014,5498.0,Sedgwick Avenue from West Fordham Road to West 183 Street,University Heights
132,132,276,113134,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,09/14/2014,4122.0,Sedgwick Avenue from West 183 Street to West Fordham Road,West Bronx
133,133,286,134461,Southern Boulevard,East Fordham Road,East Fordham Road,SB,09/14/2014,10510.0,Southern Boulevard from East Fordham Road to East Fordham Road,Fordham Manor
134,134,286,146666,Southern Boulevard,East Fordham Road,East Fordham Road,NB,09/14/2014,6143.0,Southern Boulevard from East Fordham Road to East Fordham Road,Fordham Manor
135,135,288,9001819,St. Anns Avenue,East 156 Street,Rae Street,SB,09/14/2014,1884.0,St. Anns Avenue from East 156 Street to Rae Street,N/A
136,136,288,9001819,St. Anns Avenue,Rae Street,East 156 Street,NB,09/14/2014,3238.0,St. Anns Avenue from Rae Street to East 156 Street,N/A
137,137,290,145927,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,WB,09/14/2014,14578.0,Southern Boulevard from Mosholu Parkway to Bronx River Parkway,The Bronx
138,138,290,145928,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,EB,09/14/2014,14284.0,Southern Boulevard from Mosholu Parkway to Bronx River Parkway,The Bronx
139,139,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,09/14/2014,22695.0,University Heights Bridge Approach from Harlem River Shoreline to 9 Avenue,Manhattan
140,140,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/14/2014,17033.0,University Heights Bridge Approach from Harlem River Shoreline to 9 Avenue,Manhattan
141,141,349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/14/2014,7824.0,White Plains Road from East 215 Street to East 216 Street,East Bronx
142,142,349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/14/2014,4885.0,White Plains Road from East 215 Street to East 216 Street,East Bronx
143,143,2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/15/2014,8191.0,3 Avenue from East 154 Street to East 155 Street,West Bronx
144,144,2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/15/2014,5840.0,3 Avenue from East 155 Street to East 154 Street,West Bronx
145,145,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/15/2014,5195.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
146,146,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/15/2014,5232.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
147,147,62,147673,Broadway,West 242 Street,240 Street,SB,09/15/2014,12113.0,Broadway from West 242 Street to 240 Street,The Bronx
148,148,62,158447,Broadway,West 242 Street,240 Street,NB,09/15/2014,12113.0,Broadway from West 242 Street to 240 Street,The Bronx
149,149,62,255653,Broadway,West 242 Street,240 Street,SB,09/15/2014,3786.0,Broadway from West 242 Street to 240 Street,The Bronx
150,150,71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/15/2014,45070.0,Bronx River Parkway from Bronx River to East Gun Hill Road,East Bronx
151,151,71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/15/2014,39932.0,Bronx River Parkway from East Gun Hill Road to Bronx River,East Bronx
152,152,76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/15/2014,4256.0,Brook Avenue from East 152 Street to East 153 Street,East 153rd Street
153,153,89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/15/2014,9691.0,East 138 Street from Canal Place to Rider Avenue,Canal Place
154,154,89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/15/2014,9756.0,East 138 Street from Rider Avenue to Canal Place,Canal Place
155,155,102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/15/2014,4567.0,Concourse Village West from East 156 Street to East 156 Street,East 156th Street
156,156,104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/15/2014,3161.0,Courtladt Avenue from East 153 Street to East 154 Street,West Bronx
157,157,108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/15/2014,3604.0,East 144 Street from A J Griffin Place to Grand Concourse,West Bronx
158,158,367,60160,110 AVENUE,155 STREET,156 STREET,EB,02/27/2016,1755.0,110 AVENUE from 155 STREET to 156 STREET,Jamaica
159,159,108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/15/2014,4397.0,East 144 Street from Grand Concourse to A J Griffin Place,West Bronx
160,160,109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/15/2014,10388.0,East 149 Street from A J Griffin Place to Grand Concourse,West Bronx
161,161,109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/15/2014,12900.0,East 149 Street from Grand Concourse to A J Griffin Place,West Bronx
162,162,111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/15/2014,12326.0,East 149 Street from Morris Avenue to Park Avenue,West Bronx
163,163,111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/15/2014,10156.0,East 149 Street from Park Avenue to Morris Avenue,N/A
164,164,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/15/2014,5914.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
165,165,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/15/2014,4420.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
166,166,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,NB,09/15/2014,6485.0,Eastchester Road from Givan Avenue to Tillotson Avenue,Laconia
167,167,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,09/15/2014,5019.0,Eastchester Road from Givan Avenue to Tillotson Avenue,Laconia
168,168,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,09/15/2014,18311.0,East 233 Street from Webster Avenue to Bronx River Parkway,East Bronx
169,169,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,09/15/2014,17965.0,East 233 Street from Webster Avenue to Bronx River Parkway,East Bronx
170,170,125,9014611,East Fordham Road,Southern Boulevard,Bronx River Parkway,EB,09/15/2014,33421.0,East Fordham Road from Southern Boulevard to Bronx River Parkway,The Bronx
171,171,125,9014615,East Fordham Road,Southern Boulevard,Bronx River Parkway,WB,09/15/2014,36842.0,East Fordham Road from Southern Boulevard to Bronx River Parkway,The Bronx
