Source,Address,County,Sector,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),Location,Point Size- Based on Total Emissions,Sector Number
The Boeing Company - Renton,"737 Logan Avenue N. Renton, WA 98055",King,Manufacturing,Transportation,20112,0,20092,10,11,0,0,0,0,"(47.498257, -122.211346)",1,4
Michelsen Packaging - Yakima,"202 N 2nd Ave Yakima, WA 98902",Yakima,Pulp and Paper,Other Pulp and Paper,9847,0,9836,5,6,0,0,0,0,"(46.604058, -120.513015)",1,9
Northwest Pipeline C/S - Washougal,"1309 NE Brown Road Washougal, WA 98671",Clark,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,14951,0,12242,2703,7,0,0,0,0,"(45.63236, -122.36516)",1,7
Star Forge LLC dba Jorgensen Forge - Tukwila,"8531 East Marginal Way South Tukwila, WA 98108",King,Metals,Iron and Steel Production,8739,0,8730,4,5,0,0,0,0,"(47.526872, -122.303906)",1,5
Georgia-Pacific Consumer Products LLC - Camas,"401 NE Adams Street Camas, WA 98607",Clark,Pulp and Paper,Kraft Mills,574546,386972,179067,7198,1310,0,0,0,0,"(45.584271, -122.40843)",3,9
Boise Paper - Wallula,"31831 West Highway 12 Wallula, WA 99363",Walla Walla,Pulp and Paper,Kraft Mills,681208,528740,143710,6196,2562,0,0,0,0,"(46.10396, -118.9184)",3,9
Kettle Falls Generating Station - Kettle Falls,"1151 Hwy. 395 North Kettle Falls, WA 99141",Stevens,Power Plants,"Other Power, Heating, or Cooling Plants",425847,408477,3861,8835,4674,0,0,0,0,"(48.620335, -118.110841)",3,8
Inland Empire Paper Company - Spokane,"3320 N Argonne Spokane, WA 99212",Spokane,Pulp and Paper,TMP Mills,28859,17620,10992,39,208,0,0,0,0,"(47.688295, -117.279323)",2,9
Northwest Pipeline C/S - Mount Vernon,"1539 Lange Road Mount Vernon, WA 98273",Skagit,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,62345,0,60027,2284,34,0,0,0,0,"(48.421967, -122.21547)",2,7
Puget Sound Energy - Whitehorn Generating Station - Blaine,"4930 Brown Rd Blaine, WA 98230",Whatcom,Power Plants,Natural Gas Turbine Plants,67424,0,67351,33,41,0,0,0,0,"(48.885475, -122.724299)",2,8
Sierra Pacific Industries - Aberdeen,"301 Hagara St. Aberdeen, WA 98520",Grays Harbor,Wood Products,Lumber Mills,246387,242554,593,466,2774,0,0,0,0,"(46.971875, -123.775526)",3,12
Nippon Dynawave - Longview,"3401 Industrial Way Longview, WA 98632",Cowlitz,Pulp and Paper,Kraft Mills,1532292,1218093,306772,1614,5814,0,0,0,0,"(46.130495, -122.983637)",4,9
PacifiCorp Energy - Chehalis Generating Facility - Chehalis,"1813 Bishop Rd Chehalis, WA 98532",Lewis,Power Plants,Natural Gas Turbine Plants,727165,0,726426,337,401,0,0,0,0,"(46.6226, -122.9145)",3,8
